StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_Education_Level ,Q2_Gender,Q3_Generation,Q4_Survey_Link_From,Q5_Familiarity_With_AI,Q6_Familiarity_With_Renewable_Energy_Initiatives,Q7_Use_of_generative_AI,Q8_Program_Enrolled ,Q9_Field_Of_Work,Q10_Time_Using_AI,Q11_AI_Use_Over_Traditional_Methods,Q12_AI_Awareness_Of_Environmental_Impact ,Q13_AI_Use_Over_Traditional_Methods_Energy_Efficiency,Q14_Is_Environmental_Impact_Concerning,Q15_Importants_Of_AI_Performance_For_Energy-Efficient_Practices,Q16_Environmental_Concerns,Q17_AI_Estimate_Of_Energy_Used ,Q18_Limiting_Use_Of_AI_For_Environmental,Q19_AI_Accessed_Fee,Q20_AI_Companies_Energy_Consumption_Regulations,Q21_Can_Government_Help_Reduce_AI_Impact,Q22_How_Can_Government_Help_Reduce_AI_Impact
1/29/2025 13:23,1/29/2025 13:31,IP Address,207.60.83.89,100,536,TRUE,1/29/2025 13:31,R_6UVOenihEhXGV9f,49.2825,-123.1291,anonymous,EN,Bachelors Degree,Female,Millennial  (1981-1996),Not asked,Very Familiar,Yes,"Work,Education,Content Creation",UW Master of Science in Information Management,Healthcare,1 - 2 Hours,Yes,Very Aware,Much less Efficient,Extremely agree,Very important,Moderately concerned,No,No,No,Yes,Yes,regulation of CO2 or requirements for CO2 offset programs or requirements for data centers to be predominantly supplied by renewables like solar or hydroelectric. possibly nuclear power as well.
1/29/2025 13:28,1/29/2025 13:37,IP Address,96.244.145.153,100,545,TRUE,1/29/2025 13:37,R_3kUJG223fRb1qk9,39.3733,-76.7281,anonymous,EN,Bachelors Degree,Female,Gen Z  (1997-2012),Not asked,Moderately Familiar,Yes,"Work,Education,Entertainment",MSIM,Biotechnology,1 - 30 Minutes,Yes,Somewhat Aware,Somewhat Efficient,Moderately agree,Very important,Moderately concerned,No,Unsure,No,Yes,Yes,"It can encourage or require companies to meet certain standards to be more environmentally friendly, like being more energy efficient. If these aren't requirements, they can instead have other benefits for companies that pursue more environmentally friendly practices."
1/29/2025 14:47,1/29/2025 14:51,IP Address,205.175.106.56,100,246,TRUE,1/29/2025 14:51,R_7iCfCUg6huhpNf5,47.6631,-122.3029,anonymous,EN,Masters Degree,Female,Millennial  (1981-1996),Not asked,Very Familiar,Yes,"Work,Education",Master of Science in Information,Marketing,1 - 30 Minutes,Yes,Moderately Aware,Much less Efficient,Extremely agree,Very important,Extremely concerned,Yes,Unsure,Yes,Yes,Yes,"The government have a role in regulating business practices like these and they play a huge part in setting policy and ensuring businesses are compliant across the board. These policies could vary, from investment in renewable energy sources, carbon footprint offset minimums, etc."
1/29/2025 16:35,1/29/2025 16:40,IP Address,172.56.109.229,100,293,TRUE,1/29/2025 16:40,R_6SY9fLmutiuvohH,47.6137,-122.3104,anonymous,EN,Bachelors Degree,Female,Millennial  (1981-1996),Not asked,Very Familiar,Yes,"Education,Other",Masters if Science Information Management focusing on data science.,N/A,1 - 30 Minutes,Yes,Somewhat Aware,Much less Efficient,Extremely agree,Extremely important,Extremely concerned,Yes,Yes,Yes,Yes,Unsure,
1/29/2025 16:49,1/29/2025 16:52,IP Address,172.56.106.97,100,228,TRUE,1/29/2025 16:52,R_7riHKlhQMXtGHzv,47.3957,-122.3036,anonymous,EN,Bachelors Degree,Female,Gen X (1965-1980),Not asked,Somewhat Familiar,No,Entertainment,N/A,N/A,1 - 30 Minutes,No,Not Aware,Moderately Efficient,Slightly agree,Very important,Moderately concerned,Yes,Yes,No,Yes,Unsure,
1/29/2025 18:35,1/29/2025 19:57,IP Address,35.163.60.226,100,4897,TRUE,1/29/2025 19:57,R_1U9nLm09CTynZxn,45.8401,-119.705,anonymous,EN,Bachelors Degree,Male,Millennial  (1981-1996),Not asked,Moderately Familiar,Yes,"Work,Education,Entertainment",No Response ,No Response ,1 - 30 Minutes,No,Somewhat Aware,Somewhat Efficient,Extremely agree,Very important,Very concerned,Yes,Unsure,No,Yes,Yes,
1/29/2025 18:39,1/29/2025 18:45,IP Address,107.131.122.157,100,379,TRUE,1/29/2025 18:45,R_7KIVuddjO9HGztE,37.3209,-121.9126,anonymous,EN,Bachelors Degree,Male,Gen X (1965-1980),Not asked,Extremely Familiar,Yes,"Work,Education,Entertainment,Content Creation",MSIM,Data Engineering,1 - 2 Hours,Yes,Very Aware,Much less Efficient,Extremely agree,Very important,Extremely concerned,Yes,Yes,Yes,Yes,No,
1/30/2025 22:11,1/30/2025 22:21,IP Address,50.47.188.226,100,587,TRUE,1/30/2025 22:21,R_6KWKbjBnSzi4WNH,47.9425,-122.2139,anonymous,EN,Bachelors Degree,Female,Millennial  (1981-1996),Not asked,Very Familiar,Yes,Education,MSIM,Data,1 - 30 Minutes,No,Very Aware,Much less Efficient,Extremely agree,Very important,Extremely concerned,Yes,Yes,No,Yes,Unsure,
2/1/2025 23:42,2/1/2025 23:45,IP Address,172.56.109.159,100,152,TRUE,2/1/2025 23:45,R_38H51OIMXNfQYNY,47.3957,-122.3036,anonymous,EN,High School,Female,Gen Z  (1997-2012),Not asked,Moderately Familiar,No,"Work,Education,Entertainment,Content Creation",Non profit organization ,Waitress ,1 - 30 Minutes,Yes,Somewhat Aware,Much less Efficient,Extremely agree,Very important,Extremely concerned,Yes,Yes,Yes,Yes,Yes,
2/2/2025 14:11,2/2/2025 14:51,IP Address,76.121.67.117,73,2426,FALSE,2/9/2025 14:51,R_5DonwR0CaSS7MRj,47.3236,-122.3182,anonymous,EN,Masters Degree,Male,Gen Z  (1997-2012),Not asked,Very Familiar,Yes,"Work,Education",MSIM Data Science,N/A,1 - 2 Hours,Yes,Moderately Aware,Somewhat Efficient,Extremely agree,Extremely important,Very concerned,No Response ,No Response ,No Response ,No Response ,No Response ,
